Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source,Bacterial_associate_taxa_taxid,Fungal_host_taxa_taxid,Bacterial_phylum,Fungal_phylum,bact_id,fung_id,bact_phylum_id,fung_phylum_id
Bradyrhizobiaceae,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",41294,37991,Proteobacteria,Ascomycota,93,685,1025,1050
Kocuria,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",57493,37991,Actinobacteria,Ascomycota,94,685,109,1050
Globicatella,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",13075,37991,Firmicutes,Ascomycota,95,685,119,1050
Lautropia,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",47670,5506,Proteobacteria,Ascomycota,96,679,1025,1050
Facklamia,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",66831,5506,Firmicutes,Ascomycota,97,679,119,1050
Tatumella,No,No,Yes,Nectriaceae,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",82986,110618,Proteobacteria,Ascomycota,98,726,1025,1050
Curvibacter,No,No,Yes,Nectriaceae,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",281915,110618,Proteobacteria,Ascomycota,99,726,1025,1050
Veillonella,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",29465,37991,Firmicutes,Ascomycota,100,685,119,1050
Janthinobacterium,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",29580,37991,Proteobacteria,Ascomycota,43,685,1025,1050
Gammaproteobacteria,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1236,37991,Proteobacteria,Ascomycota,101,685,1025,1050
Xanthomonas,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",338,37991,Proteobacteria,Ascomycota,102,685,1025,1050
Actinoplanes,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1865,5506,Actinobacteria,Ascomycota,103,679,109,1050
Rhizobiales,No,No,Yes,Stachybotrys,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",356,74721,Proteobacteria,Ascomycota,104,729,1025,1050
Streptomyces,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1883,5506,Actinobacteria,Ascomycota,105,679,109,1050
Rhodopseudomonas,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1073,5506,Proteobacteria,Ascomycota,106,679,1025,1050
Perlucidibaca,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",661182,5506,Proteobacteria,Ascomycota,107,679,1025,1050
Pandoraea,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",93217,37991,Proteobacteria,Ascomycota,108,685,1025,1050
Pandoraea,No,No,Yes,Hypoxylon,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",93217,42308,Proteobacteria,Ascomycota,108,711,1025,1050
Pandoraea,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",93217,5506,Proteobacteria,Ascomycota,108,679,1025,1050
Burkholderia,No,No,Yes,Stachylidium,https://doi.org/10.1128/AEM.00660-18,Unveiling Concealed Functions of Endosymbiotic Bacteria Harbored in the Ascomycete Stachylidium bicolor,32008,796327,Proteobacteria,Ascomycota,40,735,1025,1050
Sphingomonas,No,No,Yes,Stachylidium,https://doi.org/10.1128/AEM.00660-18,Unveiling Concealed Functions of Endosymbiotic Bacteria Harbored in the Ascomycete Stachylidium bicolor,13687,796327,Proteobacteria,Ascomycota,32,735,1025,1050
Actinobacteria,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",201174,2026842,Actinobacteria,Mucoromycota,109,736,109,1051
Actinomycetales,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",2037,2026842,Actinobacteria,Mucoromycota,110,736,109,1051
Atopostipes,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",292480,2026842,Firmicutes,Mucoromycota,111,736,119,1051
Bacillus,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",1386,2026842,Firmicutes,Mucoromycota,4,736,119,1051
Brevundimonas,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",41275,2026842,Proteobacteria,Mucoromycota,7,736,1025,1051
Burkholderiales,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",80840,2026842,Proteobacteria,Mucoromycota,112,736,1025,1051
Comamonadaceae,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",80864,2026842,Proteobacteria,Mucoromycota,83,736,1025,1051
Flavobacteriaceae,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",49546,2026842,Bacteroidota,Mucoromycota,113,736,1028,1051
Gammaproteobacteria,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",1236,2026842,Proteobacteria,Mucoromycota,101,736,1025,1051
Kocuria,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",57493,2026842,Actinobacteria,Mucoromycota,94,736,109,1051
Massilia,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",149698,2026842,Proteobacteria,Mucoromycota,22,736,1025,1051
Methylobacterium,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",407,2026842,Proteobacteria,Mucoromycota,114,736,1025,1051
Paracoccus,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",265,2026842,Proteobacteria,Mucoromycota,88,736,1025,1051
Pelomonas,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",335058,2026842,Proteobacteria,Mucoromycota,27,736,1025,1051
Propionibacterium,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",1743,2026842,Actinobacteria,Mucoromycota,28,736,109,1051
Ralstonia,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",48736,2026842,Proteobacteria,Mucoromycota,90,736,1025,1051
Rhodobacteraceae,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",31989,2026842,Proteobacteria,Mucoromycota,115,736,1025,1051
Staphylococcus,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",1279,2026842,Firmicutes,Mucoromycota,37,736,119,1051
Streptococcus,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",1301,2026842,Firmicutes,Mucoromycota,34,736,119,1051
Stenotrophomonas,No,No,Yes,Bifiguratus,https://doi.org/10.1080/00275514.2017.1364958,"Bifiguratus adelaidae, gen. et sp. nov., a new member of Mucoromycotina in endophytic and soil-dwelling habitats",40323,2026842,Proteobacteria,Mucoromycota,33,736,1025,1051
Bradyrhizobium,No,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,374,4830,Proteobacteria,Mucoromycota,6,680,1025,1051
Rhodanobacter,No,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,75309,4830,Proteobacteria,Mucoromycota,116,680,1025,1051
Stenotrophomonas,No,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,40323,4830,Proteobacteria,Mucoromycota,33,680,1025,1051
Burkholderia,No,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,32008,4830,Proteobacteria,Mucoromycota,40,680,1025,1051
Pseudomonas,No,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,286,4830,Proteobacteria,Mucoromycota,29,680,1025,1051
Serratia,No,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,613,4830,Proteobacteria,Mucoromycota,52,680,1025,1051
Streptomyces,No,No,Yes,Aspergillus,https://doi.org/10.1073/pnas.0901870106,Intimate bacterial–fungal interaction triggers biosynthesis of archetypal polyketides in Aspergillus nidulans,1883,5052,Actinobacteria,Ascomycota,105,737,109,1050
Uncultured bacterium clone EU236303,No,No,Yes,Penicillium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",75666,5073,na,Ascomycota,117,683,1032,1050
Burkholderia,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,32008,5073,Proteobacteria,Ascomycota,40,683,1025,1050
Actinobacteria,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,201174,5073,Actinobacteria,Ascomycota,109,683,109,1050
Bacteroidetes,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,976,5073,Bacteroidota,Ascomycota,118,683,1028,1050
Firmicutes,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,1239,5073,Firmicutes,Ascomycota,119,683,119,1050
Deltaproteobacteria,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,28221,5073,Proteobacteria,Ascomycota,120,683,1025,1050
Gammaproteobacteria,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,1236,5073,Proteobacteria,Ascomycota,101,683,1025,1050
Alphaproteobacteria,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,28211,5073,Proteobacteria,Ascomycota,121,683,1025,1050
Betaproteobacteria,No,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,28216,5073,Proteobacteria,Ascomycota,122,683,1025,1050
Paraburkholderia,No,No,Yes,Umbelopsis,https://doi.org/10.1128/AEM.02707-20 ,New Endohyphal Relationships between Mucoromycota and Burkholderiaceae Representatives,1822464,64561,Proteobacteria,Mucoromycota,69,738,1025,1051
Paraburkholderia,No,No,Yes,Mortierella,https://doi.org/10.1128/AEM.02707-20 ,New Endohyphal Relationships between Mucoromycota and Burkholderiaceae Representatives,1822464,4855,Proteobacteria,Mucoromycota,69,700,1025,1051
Paraburkholderia,No,No,Yes,Mucor,https://doi.org/10.1128/AEM.02707-20 ,New Endohyphal Relationships between Mucoromycota and Burkholderiaceae Representatives,1822464,4830,Proteobacteria,Mucoromycota,69,680,1025,1051
Abiotrophia,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,46123,29849,Firmicutes,Ascomycota,123,739,119,1050
Abiotrophia,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,46123,5073,Firmicutes,Ascomycota,123,683,119,1050
Abiotrophia,Yes,No,No,Plectosphaerella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,46123,40657,Firmicutes,Ascomycota,123,740,119,1050
Abiotrophia,Yes,No,No,Psathyrella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,46123,71729,Firmicutes,Basidiomycota,123,741,119,1052
Acetitomaculum,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,31980,5598,Firmicutes,Ascomycota,124,712,119,1050
Acetobacterium,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,33951,5506,Firmicutes,Ascomycota,125,679,119,1050
Achromobacter,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,5052,Proteobacteria,Ascomycota,0,737,1025,1050
Achromobacter,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,5498,Proteobacteria,Ascomycota,0,730,1025,1050
Achromobacter,Yes,No,No,Dactylonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,1620264,Proteobacteria,Ascomycota,0,742,1025,1050
Achromobacter,Yes,No,No,Diaporthe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,36922,Proteobacteria,Ascomycota,0,743,1025,1050
Achromobacter,Yes,No,No,Didymella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,55170,Proteobacteria,Ascomycota,0,744,1025,1050
Achromobacter,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,5506,Proteobacteria,Ascomycota,0,679,1025,1050
Achromobacter,Yes,No,No,Kalmusia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,682063,Proteobacteria,Ascomycota,0,745,1025,1050
Achromobacter,Yes,No,No,Meyerozyma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,766728,Proteobacteria,Ascomycota,0,746,1025,1050
Achromobacter,Yes,No,No,Neopyrenochaeta,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,2078553,Proteobacteria,Ascomycota,0,747,1025,1050
Achromobacter,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,5073,Proteobacteria,Ascomycota,0,683,1025,1050
Achromobacter,Yes,No,No,Pestalotiopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,37840,Proteobacteria,Ascomycota,0,714,1025,1050
Achromobacter,Yes,No,No,Plectosphaerella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,40657,Proteobacteria,Ascomycota,0,740,1025,1050
Achromobacter,Yes,No,No,Purpureocillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,222,1052105,Proteobacteria,Ascomycota,0,748,1025,1050
Acidibacter,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5598,Proteobacteria,Ascomycota,126,712,1025,1050
Acidibacter,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5052,Proteobacteria,Ascomycota,126,737,1025,1050
Acidibacter,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5581,Proteobacteria,Ascomycota,126,749,1025,1050
Acidibacter,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5506,Proteobacteria,Ascomycota,126,679,1025,1050
Acidibacter,Yes,No,No,Metapochonia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,1647406,Proteobacteria,Ascomycota,126,750,1025,1050
Acidibacter,Yes,No,No,Morchella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5193,Proteobacteria,Ascomycota,126,705,1025,1050
Acidibacter,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,4855,Proteobacteria,Mucoromycota,126,700,1025,1051
Acidibacter,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5324,Proteobacteria,Basidiomycota,126,751,1025,1052
Acidibacter,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,1549619,5543,Proteobacteria,Ascomycota,126,678,1025,1050
Acidovorax,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5598,Proteobacteria,Ascomycota,127,712,1025,1050
Acidovorax,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5052,Proteobacteria,Ascomycota,127,737,1025,1050
Acidovorax,Yes,No,No,Aureobasidium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5579,Proteobacteria,Ascomycota,127,752,1025,1050
Acidovorax,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5581,Proteobacteria,Ascomycota,127,749,1025,1050
Acidovorax,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5498,Proteobacteria,Ascomycota,127,730,1025,1050
Acidovorax,Yes,No,No,Coprinus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5345,Proteobacteria,Basidiomycota,127,753,1025,1052
Acidovorax,Yes,No,No,Diaporthe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,36922,Proteobacteria,Ascomycota,127,743,1025,1050
Acidovorax,Yes,No,No,Didymella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,55170,Proteobacteria,Ascomycota,127,744,1025,1050
Acidovorax,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5506,Proteobacteria,Ascomycota,127,679,1025,1050
Acidovorax,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5314,Proteobacteria,Basidiomycota,127,754,1025,1052
Acidovorax,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5626,Proteobacteria,Basidiomycota,127,755,1025,1052
Acidovorax,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,1079112,Proteobacteria,Ascomycota,127,756,1025,1050
Acidovorax,Yes,No,No,Infundibulicybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,378268,Proteobacteria,Basidiomycota,127,757,1025,1052
Acidovorax,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,71947,Proteobacteria,Basidiomycota,127,758,1025,1052
Acidovorax,Yes,No,No,Laccaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,29882,Proteobacteria,Basidiomycota,127,759,1025,1052
Acidovorax,Yes,No,No,Marasmius,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,34448,Proteobacteria,Basidiomycota,127,760,1025,1052
Acidovorax,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,4855,Proteobacteria,Mucoromycota,127,700,1025,1051
Acidovorax,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5073,Proteobacteria,Ascomycota,127,683,1025,1050
Acidovorax,Yes,No,No,Phaeomoniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,158045,Proteobacteria,Ascomycota,127,722,1025,1050
Acidovorax,Yes,No,No,Pseudogymnoascus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,78156,Proteobacteria,Ascomycota,127,761,1025,1050
Acidovorax,Yes,No,No,Sparassis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,40466,Proteobacteria,Basidiomycota,127,762,1025,1052
Acidovorax,Yes,No,No,Tolypocladium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,29909,Proteobacteria,Ascomycota,127,763,1025,1050
Acidovorax,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,12916,5543,Proteobacteria,Ascomycota,127,678,1025,1050
Acinetobacter,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,5581,Proteobacteria,Ascomycota,1,749,1025,1050
Acinetobacter,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,5314,Proteobacteria,Basidiomycota,1,754,1025,1052
Acinetobacter,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,39965,Proteobacteria,Basidiomycota,1,764,1025,1052
Acinetobacter,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,5073,Proteobacteria,Ascomycota,1,683,1025,1050
Acinetobacter,Yes,No,No,Pestalotiopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,37840,Proteobacteria,Ascomycota,1,714,1025,1050
Acinetobacter,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,5320,Proteobacteria,Basidiomycota,1,765,1025,1052
Acinetobacter,Yes,No,No,Purpureocillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,1052105,Proteobacteria,Ascomycota,1,748,1025,1050
Acinetobacter,Yes,No,No,Stropharia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,68745,Proteobacteria,Basidiomycota,1,766,1025,1052
Acinetobacter,Yes,Yes,No,Suillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,5379,Proteobacteria,Basidiomycota,1,681,1025,1052
Acinetobacter,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,469,5324,Proteobacteria,Basidiomycota,1,751,1025,1052
Actinobacillus,Yes,No,No,Pseudogymnoascus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,713,78156,Proteobacteria,Ascomycota,128,761,1025,1050
Actinobacillus,Yes,No,No,Tranzscheliella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi,713,349356,Proteobacteria,Basidiomycota,128,767,1025,1052
