Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source
Bacillus,Yes,No,No,Stereum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Stropharia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Tolypocladium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Tranzscheliella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacillus,Yes,No,No,Verticillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacteroides,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bacteroides,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Baia,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Barrientosiimonas,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bauldia,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bdellovibrio,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belliella,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Infundibulicybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Laetiporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Marasmius,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Belnapia,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bergeyella,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bergeyella,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bergeyella,Yes,No,No,Phaeoacremonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bergeyella,Yes,No,No,Plectosphaerella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bhargavaea,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastocatella,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastocatella,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastocatella,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Acremonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Armillaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Botrytis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Calcarisporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Chaetomium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Conidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Coniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Coprinellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Coprinus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Fistulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Fomitiporia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Hericium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Infundibulicybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Laccaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Laetiporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Marasmius,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Morchella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Mucor,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Omphalotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Panellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Periconia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Pestalotiopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Phaeoacremonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Polyporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Purpureocillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Schizosaccharomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Sordaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Sparassis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Stereum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Stropharia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Tolypocladium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastococcus,Yes,No,No,Verticillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Armillaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Clonostachys,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Coprinus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Fistulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Hericium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Infundibulicybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Laccaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Laetiporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Lyophyllum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Marasmius,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Omphalotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Panellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Tolypocladium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Blastomonas,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bordetella,Yes,No,No,Polyporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Ceratobasidium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Didymella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Laccaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Lyophyllum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Panellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bosea,Yes,No,No,Stereum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Acremonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Basidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Ceratobasidium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Chaetomium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Coprinellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Flammulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Fomitiporia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Hebeloma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Laccaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Morchella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Mucor,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Phaeoacremonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Polyporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Sparassis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brachybacterium,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Clonostachys,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Neopestalotiopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Podila,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Pseudogymnoascus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Staphylotrichum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Bradyrhizobium,Yes,No,No,Vanrija,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacillus,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacillus,Yes,No,No,Byssochlamys,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacillus,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacillus,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacillus,Yes,No,No,Morchella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacillus,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Coniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Fomitiporia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Omphalotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Purpureocillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevibacterium,Yes,No,No,Verticillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Acremonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Apiotrichum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Armillaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Basidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Botrytis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Byssochlamys,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Calcarisporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Ceratobasidium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Chaetomium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Conidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Coniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Brevundimonas,Yes,No,No,Coniochaeta,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
